日期,時間,活動名稱,地點,主講人,主持人,類型,備註,詳細內容
2026-02-05,14:15 - 15:15,近觀筆墨：天下第二行書〈祭姪文稿〉的悲愴與壯麗,黃沙龍2F,何炎泉、邱士華、林宛儒、蘇雅芬,,沙龍講座,百年故宮大美，鉅觀藝術長河的悠遠深思。 百件經典書畫，近觀纖...,百年故宮大美，鉅觀藝術長河的悠遠深思。 百件經典書畫，近觀纖毫瞬息的筆墨氣韻。 四位國寶守護者，開啟風格分析之眼，直擊中華美學的不朽奧祕。 以最先進的數位技術近觀百年故宮典藏，讓過往只屬於學者與少數人的細節之美，如今成為全民共享的文化盛宴。 由故宮書畫文獻處處長何炎泉領銜，與邱士華科長、林宛儒、蘇雅芬四位專業的故宮研究員分别撰寫書畫四大類別。以風格分析的方式，帶領讀者深入理解筆墨、構圖和書畫技法。《大美近觀：百年故宮．書畫百品的翰墨風華》由國立故宮博物院與聯經出版共同策劃。精選故宮典藏百件珍稀書畫，運用超高解析數位影像技術，搭配書畫文獻處何炎泉、邱士華、林宛儒、蘇雅芬四位研究員的深度解析，從筆墨皴法、人物神態、山水氣象與花鳥生趣，展現中華藝術千年的美學脈絡。 本書不僅是視覺與知識的結晶，更展現科技如何讓古典藝術中的故事，獲得更多被看見的可能。透過研究員們的分享將對水墨展品的賞閱從「獨享」到「眾樂」，《大美近觀》邀請讀者透過數位放大的細節，窺見筆觸間的靈光與心境，體會藝術所蘊藏的永恆生命力。
2026-02-05,14:15 - 15:15,東京TheWorthless繪本音樂表演,藍沙龍,TheWorthless成員,,沙龍講座,來自東京 ニジノ絵本屋書店的音樂表演團體 將帶來繪本主題的音...,來自東京 ニジノ絵本屋書店的音樂表演團體 將帶來繪本主題的音樂彈奏與歌唱表演 另外還有搭配操偶師的木偶演出 是大人小孩都適合來放鬆看演出的活動
2026-02-05,14:15 - 15:15,把財富阻力化為致富原力：打造不被金錢綁架的人生地圖,紅沙龍,Dr.Selena楊倩琳,,沙龍講座,《啟動致富原力》是作者Dr. Selena楊倩琳以自身貧困到...,《啟動致富原力》是作者Dr. Selena楊倩琳以自身貧困到財務自由的歷程，打造的「生命財富地圖」。她將帶領讀者理解如何把「財富阻力」轉化為「致富原力」，建立不被金錢綁架的人生選擇權，啟動富養自己的底氣。
2026-02-05,14:15 - 15:15,從小眾走向主流：泰國 BL 文學的演化及藍圖,國際沙龍,柴拉特・皮皮帕塔納普拉普 (Prapt)、納帕頌・克穆塔 (Cali)、MTRD.S 、帕特里克・朗西曼,,沙龍講座,從粉絲驅動到文學認可：泰國 BL 文學的演變與未來 從粉絲驅...,從粉絲驅動到文學認可：泰國 BL 文學的演變與未來 從粉絲驅動的起步，到獲得文學界的認可，泰國 BL（Boys' Love，男同性愛）文學經歷了非凡的轉變。 本次論壇將追溯泰國 BL 文學的演變，並提出一個疑問：它能否超越體裁的標籤，被視為一種獨立的文學形式而被接受？ 歡迎與備受讚譽的作家 柴拉特・皮皮帕塔納普拉普 (Chairat Pipitpattanaprap - Prapt)、納帕頌・克穆塔 (Napasorn Khemutha - Cali) 和 MTRD.S 一起，由主持人 帕特里克・朗西曼 (Patrick Rangsiman) 引導對話。他們將探討 BL 敘事在故事創作的多樣性、觀眾的轉變以及更廣泛的文化影響。
2026-02-05,15:00 - 16:00,文化部青年創作獎勵暨國際駐村分享講座,直播室,青年創作者及國際駐村創作家,,直播活動,,
2026-02-05,15:30 - 16:30,回家不是退場：客庄青年的文化行動,紅沙龍,陳建成、鄧惠如、彭雅芳,《地味手帖》主編－董淨瑋,沙龍講座,一群熱血客家知識青年在客家庄發行社區小報及刊物，內容涵蓋在地...,一群熱血客家知識青年在客家庄發行社區小報及刊物，內容涵蓋在地生活、文化、歷史與當代議題，透過文字、插畫和影像記錄客庄生活平凡點滴，由青年創辦人分享匯聚生命與溫度的小故事。【講者介紹】 1. 共發實業 負責人－ 陳建成 2. 《壢壢扣扣》主編－ 鄧惠如 3. 《逐步東行》刊物－彭雅芳
2026-02-05,15:30 - 16:30,《郊遊日，一起去海底玩！》新書發表會暨親子工作坊―― 打造你的專屬魔法鑰匙,兒童沙龍,咚東,,沙龍講座,新書《郊遊日，一起去海底玩！》延續小恐龍的冒險與友誼，融合神...,新書《郊遊日，一起去海底玩！》延續小恐龍的冒險與友誼，融合神祕深海、友情考驗與奇幻想像。活動邀請作者分享故事彩蛋與創作靈感，並透過親子拼貼工作坊，引導孩子動手打造專屬魔法鑰匙，開啟心中嚮往的目的地。
2026-02-05,15:30 - 16:30,《小高潮旅行社：Vol. 1冰島》新書發表會,黃沙龍2F,小高潮色計事務所、林凱洛,,沙龍講座,小高潮色計事務所 全新計畫！ 小高潮旅行社Vol.1冰島是一...,小高潮色計事務所 全新計畫！ 小高潮旅行社Vol.1冰島是一本公路旅行漫畫， 歡迎登上小高潮旅行社的第一班車，不帶團、不趕行程，只用畫筆與幽默，帶你看一個冰與火交錯的國度。 本書結合旅行海報的構圖感、設計雜誌的編排感、美美圖鑑的收藏感，讓旅途不只是一段路，而是一種風格。 讓讀者跟著小高潮色計事務所主理人色長一起環遊世界！
2026-02-05,15:30 - 16:30,花於景《請解開故事謎底 05》新書簽名會,藍沙龍,花於景,,簽書會,混亂中立撩漢大佬 × 守序善良面癱新手 #懸疑 ＃解謎 ＃類...,混亂中立撩漢大佬 × 守序善良面癱新手 #懸疑 ＃解謎 ＃類海龜湯 ＃類狼人殺 ＃類無限流 暢銷作家 花於景× 人氣繪師 P P × 知名設計 高橋麵包 S S 級的默契組合，精心打造出 令人欲罷不能的解謎關卡，魅力誘惑的角色設定。 F B／I G 超熱門連載《請解開故事謎底》，霸氣登場！ 花於景於2024年底出版人氣連載作品《叛逆玩家》，一出版隨即大受讀者喜愛；2026 TiBE 期間將在書展的藍沙龍舉辦讀者見面簽書會，喜愛花於景作品的讀者要把握難得機會，和喜愛的作家相見歡。 獲獎/得獎紀錄： 系列榮獲2023年TCCF創意內容大會故事專場「艾慕原創故事獎」 榮獲2025年金石堂年度暢銷作家、誠品年度華文文學作家 花於景粉絲專頁https://www.facebook.com/jing.with.yu ◎本場次限簽180名 ◎完整參加辦法注意蓋亞官方臉書粉絲團
2026-02-05,15:30 - 16:30,從音樂和文學看義大利戰後到今天的社會變遷,國際沙龍,倪安宇,,沙龍講座,歌曲像是文學極短篇，從旋律到歌詞都是社會面貌的縮影；而現代文...,歌曲像是文學極短篇，從旋律到歌詞都是社會面貌的縮影；而現代文學作品的細膩描述，則可挖掘深層的社會集體心理狀態。從戰後50年代開始到二十一世紀，每十年擇一具代表性的流行歌曲和文學作品介紹，以呈現義大利社會的變與不變。
2026-02-05,15:30 - 16:20,作家簽名會：算命兼簽名，翻開運勢新篇章,泰國主題國館,Prasertsak Padmarid (Siphram),,簽書會,Meet the author for a special ...,Meet the author for a special signing session — plus a mystical crystal-ball fortune reading! The “teacher’s fee” for each reading will be donated to charity. Visitors will also receive a limited-edition， eye-catching tote bag exclusive to this event.
2026-02-05,15:30 - 16:20,泰國歷史懸疑文學交流,泰國主題國館,Chairat Pipitpattanaprap (Prapt)， and Nattha Kanla (littlebbear96),,講座,Discuss about Thai history， my...,Discuss about Thai history， mystery， and stories in writing
2026-02-05,16:30 - 17:30,文化部青年創作獎勵暨國際駐村分享講座,直播室,青年創作者及國際駐村創作家,,直播活動,,
2026-02-05,16:30 - 17:20,THAI 畫：KIWTUM 筆下的角色魅力與泰式繪圖,泰國主題國館,Mr.Anuchit Kumnoi (KIWTUM),,講座,A creative drawing activity fr...,"A creative drawing activity from ""KIWTUM""， a famous artist and writer from Thailand and owner of the ""KIWTUM"" fan page with over 3，000，000 followers. He combines drawing with Thai fabric elements and gives a special gift to those who participate in the activity (limited quantity)."
